Index,activityID
0,1
1,1
2,1
3,4
4,1
5,5
6,1
7,1
8,1
9,1
10,5
11,1
12,1
13,1
14,5
15,1
16,1
17,1
18,5
19,1
20,2
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,3
29,4
30,1
31,4
32,1
33,2
34,3
35,1
36,1
37,1
38,1
39,1
40,1
41,2
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,6
50,1
51,1
52,1
53,6
54,1
55,1
56,1
57,1
58,6
59,1
60,1
61,1
62,1
63,3
64,1
65,5
66,1
67,1
68,3
69,1
70,3
71,1
72,1
73,1
74,1
75,1
76,1
77,6
78,1
79,1
80,1
81,1
82,1
83,5
84,1
85,2
86,1
87,1
88,1
89,1
90,1
91,5
92,1
93,1
94,1
95,5
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,3
110,5
111,5
112,1
113,4
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,5
138,1
139,1
140,1
141,6
142,1
143,4
144,1
145,1
146,4
147,1
148,1
149,2
150,1
151,1
152,6
153,1
154,1
155,6
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,3
172,1
173,1
174,3
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,6
189,1
190,6
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,3
202,1
203,2
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,2
224,3
225,1
226,1
227,1
228,4
229,1
230,1
231,1
232,1
233,6
234,1
235,4
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,2
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,5
273,1
274,1
275,1
276,1
277,1
278,1
279,6
280,1
281,1
282,1
283,5
284,1
285,1
286,1
287,1
288,1
289,5
290,3
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,6
299,1
300,1
301,1
302,1
303,4
304,1
305,4
306,6
307,1
308,1
309,1
310,1
311,6
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,6
322,1
323,2
324,2
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,3
333,1
334,3
335,1
336,4
337,1
338,3
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,5
350,3
351,5
352,1
353,1
354,4
355,3
356,1
357,2
358,2
359,1
360,4
361,1
362,5
363,1
364,2
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,2
376,4
377,6
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,3
388,1
389,4
390,1
391,1
392,1
393,1
394,1
395,4
396,6
397,1
398,1
399,2
400,1
401,1
402,1
403,5
404,1
405,5
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,3
417,4
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,2
429,1
430,1
431,1
432,1
433,6
434,4
435,1
436,4
437,1
438,1
439,1
440,6
441,1
442,1
443,1
444,1
445,1
446,1
447,2
448,1
449,5
450,6
451,1
452,5
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,5
468,1
469,1
470,1
471,1
472,5
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,6
484,1
485,2
486,1
487,1
488,1
489,3
490,1
491,1
492,1
493,1
494,1
495,1
496,5
497,1
498,1
499,2
500,1
501,1
502,4
503,1
504,3
505,1
506,1
507,1
508,1
509,1
510,5
511,6
512,1
513,1
514,1
515,5
516,2
517,1
518,1
519,1
520,1
521,6
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,4
530,1
531,1
532,1
533,5
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,6
543,1
544,1
545,1
546,1
547,1
548,6
549,1
550,1
551,6
552,1
553,1
554,1
555,1
556,1
557,1
558,5
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,2
572,1
573,1
574,1
575,6
576,6
577,1
578,4
579,2
580,1
581,3
582,5
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,4
591,1
592,1
593,1
594,1
595,5
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,3
604,2
605,1
606,1
607,1
608,6
609,1
610,1
611,1
612,6
613,1
614,1
615,4
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,4
626,1
627,1
628,1
629,1
630,2
631,2
632,1
633,1
634,1
635,3
636,6
637,4
638,1
639,1
640,1
641,5
642,1
643,1
644,6
645,1
646,4
647,1
648,1
649,1
650,3
651,1
652,1
653,2
654,1
655,1
656,4
657,4
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,6
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,6
681,1
682,1
683,1
684,4
685,1
686,3
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,4
697,6
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,6
708,1
709,1
710,1
711,6
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,2
725,1
726,1
727,1
728,6
729,1
730,1
731,1
732,1
733,4
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,2
747,1
748,1
749,1
750,1
751,3
752,1
753,1
754,5
755,6
756,1
757,4
758,1
759,6
760,1
761,5
762,5
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,5
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,6
786,1
787,1
788,1
789,1
790,1
791,1
792,5
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,4
803,1
804,1
805,1
806,1
807,5
808,6
809,1
810,1
811,1
